Name,Location,State,Rank,Latitude,Longitude
University of the Pacific,"Stockton, CA",California,111,,
University of Utah,"Salt Lake City, UT",Utah,111,,
Michigan Technological University,"Houghton, MI",Michigan,118,,
Seton Hall University,"South Orange, NJ",New Jersey,118,,
Temple University,"Philadelphia, PA",Pennsylvania,118,,
University of California--Riverside,"Riverside, CA",California,118,,
University of Kansas,"Lawrence, KS",Kansas,118,,
University of St. Thomas,"St. Paul, MN",Minnesota,118,,
The Catholic University of America,"Washington, DC",Dist. Of Columbia,124,,
DePaul University,"Chicago, IL",Illinois,124,,
Duquesne University,"Pittsburgh, PA",Pennsylvania,124,,
Howard University,"Washington, DC",Dist. Of Columbia,124,,
University of Arizona,"Tucson, AZ",Arizona,124,,
Arizona State University--Tempe,"Tempe, AZ",Arizona,129,,
Clarkson University,"Potsdam, NY",New York,129,,
Colorado State University,"Fort Collins, CO",Colorado,129,,
New School,"New York, NY",New York,129,,
Hofstra University,"Hempstead, NY",New York,133,,
University of Kentucky,"Lexington, KY",Kentucky,133,,
Kansas State University,"Manhattan, KS",Kansas,135,,
Louisiana State University--Baton Rouge,"Baton Rouge, LA",Louisiana,135,,
Mercer University,"Macon, GA",Georgia,135,,
New Jersey Institute of Technology,"Newark, NJ",New Jersey,135,,
Rutgers University--Newark,"Newark, NJ",New Jersey,135,,
University of Arkansas,"Fayetteville, AR",Arkansas,135,,
University of Cincinnati,"Cincinnati, OH",Ohio,135,,
University of Mississippi,"University, MS",Mississippi,135,,
George Mason University,"Fairfax, VA",Virginia,143,,
Oregon State University,"Corvallis, OR",Oregon,143,,
Washington State University,"Pullman, WA",Washington,143,,
Adelphi University,"Garden City, NY",New York,146,,
Ohio University,"Athens, OH",Ohio,146,,
San Diego State University,"San Diego, CA",California,146,,
St. John Fisher College,"Rochester, NY",New York,146,,
University at Albany--SUNY,"Albany, NY",New York,146,,
University of Texas--Dallas,"Richardson, TX",Texas,146,,
Illinois State University,"Normal, IL",Illinois,152,,
Immaculata University,"Immaculata, PA",Pennsylvania,152,,
Oklahoma State University,"Stillwater, OK",Oklahoma,152,,
University of California--Merced,"Merced, CA",California,152,,
University of Illinois--Chicago,"Chicago, IL",Illinois,152,,
University of La Verne,"La Verne, CA",California,152,,
University of Massachusetts--Lowell,"Lowell, MA",Massachusetts,152,,
Seattle Pacific University,"Seattle, WA",Washington,159,,
University of Alabama--Birmingham,"Birmingham, AL",Alabama,159,,
University of Maryland--Baltimore County,"Baltimore, MD",Maryland,159,,
University of Rhode Island,"Kingston, RI",Rhode Island,159,,
University of South Florida,"Tampa, FL",Florida,159,,
Biola University,"La Mirada, CA",California,164,,
Maryville University of St. Louis,"St Louis, MO",Missouri,164,,
Missouri University of Science & Technology,"Rolla, MO",Missouri,164,,
St. John's University,"Queens, NY",New York,164,,
Virginia Commonwealth University,"Richmond, VA",Virginia,164,,
Union University,"Jackson, TN",Tennessee,169,,
University of Hawaii--Manoa,"Honolulu, HI",Hawaii,169,,
Edgewood College,"Madison, WI",Wisconsin,171,,
Florida Institute of Technology,"Melbourne, FL",Florida,171,,
University of Idaho,"Moscow, ID",Idaho,171,,
University of Louisville,"Louisville, KY",Kentucky,171,,
University of Wyoming,"Laramie, WY",Wyoming,171,,
Ball State University,"Muncie, IN",Indiana,176,,
Lipscomb University,"Nashville, TN",Tennessee,176,,
Mississippi State University,"Mississippi State, MS",Mississippi,176,,
Montclair State University,"Montclair, NJ",New Jersey,176,,
Texas Tech University,"Lubbock, TX",Texas,176,,
University of Central Florida,"Orlando, FL",Florida,176,,
University of New Mexico,"Albuquerque, NM",New Mexico,176,,
Andrews University,"Berrien Springs, MI",Michigan,183,,
Azusa Pacific University,"Azusa, CA",California,183,,
University of Maine,"Orono, ME",Maine,183,,
West Virginia University,"Morgantown, WV",West Virginia,183,,
Widener University,"Chester, PA",Pennsylvania,183,,
Kent State University,"Kent, OH",Ohio,188,,
North Dakota State University,"Fargo, ND",North Dakota,188,,
Pace University,"New York, NY",New York,188,,
Robert Morris University,"Moon Township, PA",Pennsylvania,188,,
Suffolk University,"Boston, MA",Massachusetts,188,,
University of Hartford,"West Hartford, CT",Connecticut,188,,
Bowling Green State University,"Bowling Green, OH",Ohio,194,,
University of Houston,"Houston, TX",Texas,194,,
Western Michigan University,"Kalamazoo, MI",Michigan,194,,
Indiana University-Purdue University--Indianapolis,"Indianapolis, IN",Indiana,197,,
Lesley University,"Cambridge, MA",Massachusetts,197,,
University of Alabama--Huntsville,"Huntsville, AL",Alabama,197,,
University of Colorado--Denver,"Denver, CO",Colorado,197,,
University of Nevada--Reno,"Reno, NV",Nevada,197,,
California State University--Fullerton,"Fullerton, CA",California,202,,
Central Michigan University,"Mount Pleasant, MI",Michigan,202,,
Louisiana Tech University,"Ruston, LA",Louisiana,202,,
South Dakota State University,"Brookings, SD",South Dakota,202,,
University of Alaska--Fairbanks,"Fairbanks, AK",Alaska,202,,
University of North Carolina--Charlotte,"Charlotte, NC",North Carolina,202,,
University of North Dakota,"Grand Forks, ND",North Dakota,202,,
University of South Dakota,"Vermillion, SD",South Dakota,202,,
East Carolina University,"Greenville, NC",North Carolina,210,,
Montana State University,"Bozeman, MT",Montana,210,,
Old Dominion University,"Norfolk, VA",Virginia,210,,
University of Missouri--Kansas City,"Kansas City, MO",Missouri,210,,
Ashland University,"Ashland, OH",Ohio,214,,
Dallas Baptist University,"Dallas, TX",Texas,214,,
Northern Illinois University,"DeKalb, IL",Illinois,214,,
Nova Southeastern University,"Ft. Lauderdale, FL",Florida,214,,
Southern Illinois University--Carbondale,"Carbondale, IL",Illinois,214,,
University of Montana,"Missoula, MT",Montana,214,,
Benedictine University,"Lisle, IL",Illinois,220,,
California State University--Fresno,"Fresno, CA",California,220,,
Gardner-Webb University,"Boiling Springs, NC",North Carolina,220,,
New Mexico State University,"Las Cruces, NM",New Mexico,220,,
Shenandoah University,"Winchester, VA",Virginia,220,,
Tennessee Technological University,"Cookeville, TN",Tennessee,220,,
University of Massachusetts--Boston,"Boston, MA",Massachusetts,220,,
University of Massachusetts--Dartmouth,"North Dartmouth, MA",Massachusetts,220,,
University of Missouri--St. Louis,"St. Louis, MO",Missouri,220,,
University of North Carolina--Greensboro,"Greensboro, NC",North Carolina,220,,
University of Southern Mississippi,"Hattiesburg, MS",Mississippi,220,,
Utah State University,"Logan, UT",Utah,220,,
