,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Oregon,"985,556","994,743","1,004,706","1,012,559","1,020,615","1,024,888","1,034,410","1,041,863","1,049,006","1,061,435","1,080,963","1,112,408","1,137,469","1,155,509","1,172,996"
Pennsylvania,"3,257,164","3,224,924","3,197,312","3,173,801","3,146,144","3,126,308","3,125,681","3,128,332","3,135,420","3,144,540","3,148,142","3,151,070","3,168,645","3,196,393","3,222,875"
Rhode Island,"292,094","284,670","277,823","272,611","266,874","263,766","262,028","261,835","262,859","264,176","265,110","266,628","267,252","270,705","273,548"
South Carolina,"1,169,533","1,179,555","1,186,911","1,196,665","1,195,108","1,193,666","1,191,652","1,195,740","1,204,834","1,219,478","1,236,951","1,252,837","1,268,559","1,285,375","1,303,358"
South Dakota,"194,053","193,284","194,894","195,036","196,965","199,015","201,106","204,203","206,526","208,082","209,070","211,867","216,529","218,772","220,928"
Tennessee,"1,679,791","1,690,961","1,697,092","1,691,716","1,684,731","1,677,469","1,677,851","1,685,054","1,690,596","1,700,242","1,711,613","1,726,844","1,750,044","1,773,550","1,797,314"
Texas,"6,634,314","6,742,164","6,835,875","6,921,332","7,007,959","7,096,418","7,198,429","7,320,100","7,430,277","7,575,333","7,730,258","7,865,426","7,989,180","8,098,850","8,219,202"
Utah,"679,624","701,224","726,571","746,850","765,668","781,612","791,821","800,765","812,373","824,361","837,655","858,898","880,412","898,476","915,259"
Vermont,"158,855","155,997","153,309","151,259","149,150","147,554","146,433","144,989","144,560","143,157","142,403","141,762","142,874","144,499","145,675"
Virginia,"2,190,025","2,190,642","2,186,905","2,189,453","2,191,638","2,203,579","2,214,975","2,232,302","2,245,101","2,254,119","2,258,180","2,261,664","2,274,775","2,288,181","2,302,877"
Washington,"1,774,193","1,791,998","1,803,331","1,819,408","1,835,742","1,846,434","1,868,822","1,888,261","1,907,793","1,939,655","1,981,767","2,037,702","2,099,899","2,153,138","2,200,216"
West Virginia,"469,859","468,119","465,516","463,268","460,260","457,929","455,784","453,037","449,970","447,332","444,712","440,808","435,799","431,393","427,806"
Wisconsin,"1,495,134","1,479,447","1,471,698","1,462,682","1,452,804","1,445,127","1,436,604","1,428,023","1,423,474","1,419,403","1,414,596","1,414,290","1,425,720","1,440,982","1,454,297"
Wyoming,"129,772","131,399","135,001","138,230","143,309","144,960","145,993","149,161","150,776","151,600","152,933","152,602","150,863","150,456","150,718"
