,Name,2009ind,2009lab,2009ba,2010ind,2010lab,2010ba,2011ind,2011lab,2011ba,2012ind,2012lab,2012ba,2013ind,2013lab,2013ba,2014ind,2014ind,2014ba,2015ind,2015lab,2015ba,2016ind,2016lab,2016ba,2017ind,2017lab,2017ba,2018ind,2018lab,2018ba,2019ind,2019lab,2019ba
18,Nebraska,"462,372","272,130",148520,"466,948","291,595",157755,"469,569","284,365",153065,"472,494","298,600",162440,"475,873","299,165",165205,"478,381","307,955",170245,"480,098","314,040",171645,"484,109","322,645",182720,"489,353","328,960",184645,"494,304","341,565",194440,"498,477","356,010",202530
19,North Dakota,"162,677","93,795",50785,"166,651","107,880",58935,"170,338","102,470",55890,"176,254","112,125",62915,"184,593","110,685",60715,"191,160","114,465",63155,"199,208","125,295",68550,"200,854","126,555",73320,"202,520","131,985",79125,"204,630","122,840",77685,"207,147","127,920",75905
20,South Dakota,"196,965","108,280",55005,"199,015","116,745",60425,"201,106","115,185",59990,"204,203","117,415",61270,"206,526","119,155",64520,"208,082","126,985",66225,"209,070","125,080",66160,"211,867","131,445",69025,"216,529","131,095",66485,"218,772","137,995",76385,"220,928","142,325",74695
21,Delaware,"228,638","136,335",73655,"227,384","133,790",69830,"227,311","139,350",73415,"227,469","142,635",73590,"229,950","151,350",79645,"232,784","150,370",80495,"235,059","155,925",79970,"236,076","152,840",78485,"237,424","156,205",76960,"239,609","156,250",76310,"242,181","169,885",85110
22,District of Columbia,"199,093","174,825",115960,"208,088","191,925",127235,"219,040","203,595",138825,"229,579","213,410",143880,"239,403","224,760",156455,"245,996","226,040",162040,"253,147","242,110",169130,"259,823","245,065",169630,"265,471","255,855",181020,"269,447","270,905",190195,"273,510","268,705",192555
23,Florida,"4,728,842","2,368,960",1270000,"4,726,467","2,435,020",1253795,"4,752,143","2,465,640",1291830,"4,807,457","2,588,765",1345635,"4,867,648","2,630,705",1377115,"4,950,029","2,680,730",1409820,"5,053,017","2,850,265",1509960,"5,166,361","2,891,340",1542505,"5,263,303","3,060,945",1636425,"5,337,990","3,194,970",1723665,"5,399,953","3,296,270",1745405
24,Georgia,"2,750,052","1,410,335",844470,"2,732,614","1,369,865",808440,"2,730,710","1,410,055",829700,"2,733,849","1,442,160",833060,"2,734,179","1,456,770",842380,"2,744,751","1,515,615",858275,"2,761,220","1,578,530",887900,"2,786,464","1,634,005",914050,"2,813,474","1,684,780",936415,"2,841,654","1,770,780",967980,"2,874,215","1,817,970",1005425
25,Maryland,"1,558,062","1,147,315",613135,"1,559,947","1,180,845",601335,"1,565,350","1,198,555",627065,"1,575,769","1,224,725",642600,"1,582,333","1,252,570",644750,"1,586,093","1,280,520",672305,"1,590,296","1,298,120",676610,"1,589,949","1,323,615",688420,"1,595,982","1,349,555",696960,"1,604,205","1,373,420",706145,"1,611,462","1,390,770",712675
26,North Carolina,"2,573,672","1,310,690",768610,"2,577,428","1,316,960",753805,"2,576,613","1,351,590",776395,"2,579,425","1,388,205",786980,"2,588,912","1,461,955",826530,"2,599,047","1,480,105",840255,"2,609,449","1,530,165",851625,"2,629,058","1,604,610",893505,"2,656,509","1,673,765",935725,"2,685,733","1,733,090",960355,"2,719,496","1,763,970",978850
27,South Carolina,"1,195,108","573,760",315850,"1,193,666","584,995",312195,"1,191,652","560,870",315050,"1,195,740","600,495",327530,"1,204,834","629,220",344720,"1,219,478","636,640",345700,"1,236,951","666,980",355430,"1,252,837","685,170",370085,"1,268,559","708,015",378490,"1,285,375","731,530",395245,"1,303,358","763,775",416770
28,Virginia,"2,191,638","1,442,725",815770,"2,203,579","1,487,740",842295,"2,214,975","1,539,620",878900,"2,232,302","1,568,095",887285,"2,245,101","1,616,385",898630,"2,254,119","1,656,540",931855,"2,258,180","1,678,440",928960,"2,261,664","1,715,475",943490,"2,274,775","1,763,990",970010,"2,288,181","1,797,625",992345,"2,302,877","1,820,625",1001990
29,West Virginia,"460,260","176,300",93105,"457,929","181,305",97890,"455,784","191,630",104925,"453,037","191,040",101830,"449,970","188,280",102175,"447,332","190,830",103970,"444,712","192,865",106555,"440,808","201,880",110950,"435,799","188,750",102440,"431,393","201,375",106375,"427,806","201,405",111125
30,Alabama,"1,232,200","536,210",303640,"1,228,719","533,990",293020,"1,225,177","549,360",302530,"1,225,301","572,805",321275,"1,226,950","571,535",306775,"1,228,634","578,165",315335,"1,229,894","595,345",326725,"1,230,234","604,765",334875,"1,231,962","617,415",334210,"1,235,156","624,760",344525,"1,240,535","651,555",354540
31,Kentucky,"1,147,693","496,540",287620,"1,142,930","484,165",277255,"1,138,563","501,880",279375,"1,133,761","515,800",289325,"1,131,235","534,285",299445,"1,127,893","527,070",297590,"1,127,614","543,945",307740,"1,128,689","554,835",310640,"1,132,183","573,715",317905,"1,135,035","591,910",330170,"1,138,333","606,195",336365
32,Mississippi,"764,156","284,430",161960,"762,784","286,915",159265,"761,330","297,430",162730,"760,060","302,710",168990,"759,121","296,905",166210,"759,720","306,025",182480,"758,367","302,650",172140,"758,663","315,510",177815,"759,739","321,205",172680,"760,028","342,455",191955,"759,501","323,610",172285
33,Tennessee,"1,684,731","791,520",458485,"1,677,469","784,780",442130,"1,677,851","811,460",455455,"1,685,054","836,460",475830,"1,690,596","854,940",491515,"1,700,242","877,565",491175,"1,711,613","901,665",512470,"1,726,844","925,355",516755,"1,750,044","978,550",556840,"1,773,550","995,435",553200,"1,797,314","1,059,525",592510
34,Arkansas,"743,283","282,850",161440,"743,027","291,095",161045,"745,419","306,010",171720,"747,311","316,445",177475,"748,724","306,005",175985,"750,150","326,435",180185,"753,383","323,105",185215,"757,147","338,150",189255,"761,587","350,620",202655,"764,254","347,335",196930,"767,131","357,580",202205
35,Louisiana,"1,181,653","505,070",285090,"1,197,065","511,150",282390,"1,206,298","495,585",283640,"1,214,328","524,190",300230,"1,223,468","536,990",310520,"1,233,169","549,955",323175,"1,243,467","563,705",323465,"1,252,176","562,125",324860,"1,251,248","580,515",334760,"1,250,023","582,565",336235,"1,248,081","594,550",350875
36,Oklahoma,"959,376","425,555",224300,"969,262","438,440",233470,"977,707","464,375",249805,"986,699","458,935",249510,"998,145","457,755",255270,"1,007,081","469,065",261550,"1,018,222","478,125",263530,"1,025,476","494,285",273315,"1,029,018","502,945",275180,"1,033,633","499,750",281305,"1,041,466","521,520",284680
37,Texas,"7,007,959","3,193,390",1848860,"7,096,418","3,316,610",1891850,"7,198,429","3,416,050",1972065,"7,320,100","3,510,630",2023055,"7,430,277","3,699,470",2137395,"7,575,333","3,775,115",2222670,"7,730,258","3,924,645",2314775,"7,865,426","4,075,840",2389780,"7,989,180","4,218,150",2486160,"8,098,850","4,433,840",2606715,"8,219,202","4,583,845",2717435
38,Arizona,"1,685,082","807,020",458075,"1,681,042","787,640",425040,"1,690,623","805,725",447270,"1,704,165","840,385",469010,"1,719,573","849,330",469440,"1,741,550","863,870",480890,"1,765,511","877,350",483815,"1,795,527","939,315",508275,"1,827,995","971,520",544715,"1,863,583","1,014,830",556575,"1,903,120","1,054,415",571695
39,Colorado,"1,415,641","967,040",537205,"1,430,726","984,155",540440,"1,452,344","1,001,865",559125,"1,475,571","1,037,115",569570,"1,499,651","1,056,375",586135,"1,524,815","1,085,660",612010,"1,562,535","1,131,550",644010,"1,598,643","1,175,955",653905,"1,634,622","1,230,640",704320,"1,675,850","1,290,890",728975,"1,711,425","1,339,255",771390
40,Idaho,"399,670","174,000",98195,"400,960","185,570",102010,"403,286","190,410",106170,"405,008","192,190",104725,"408,695","199,700",111820,"413,775","192,955",108245,"419,128","202,825",115155,"428,353","215,530",125615,"440,068","216,090",123195,"451,751","233,510",131995,"463,662","239,640",139400
41,Montana,"234,399","138,705",71370,"236,034","148,435",74345,"237,427","149,775",76275,"239,094","154,745",76565,"242,514","146,670",76940,"245,312","152,335",77290,"248,723","160,070",85630,"252,613","162,465",82740,"258,978","174,685",87375,"263,814","172,420",90275,"268,181","182,260",102260
42,Nevada,"774,536","297,690",167405,"769,133","296,165",163595,"765,448","304,500",161565,"769,733","304,030",172600,"774,643","309,150",169110,"783,657","319,150",179205,"796,693","329,285",185210,"810,183","334,945",187330,"826,662","363,685",206175,"845,578","368,865",210080,"863,621","388,490",219215
43,New Mexico,"511,617","242,510",117145,"517,353","247,230",114135,"521,267","255,705",119740,"522,937","257,170",125180,"525,089","253,850",129510,"524,381","246,810",120695,"525,210","246,900",119745,"527,777","259,150",130290,"530,795","254,355",128830,"534,244","255,880",135395,"538,933","270,275",137595
44,Utah,"765,668","355,485",225715,"781,612","362,080",232955,"791,821","373,740",238955,"800,765","398,290",251525,"812,373","398,015",260905,"824,361","407,730",259125,"837,655","426,250",272775,"858,898","443,575",297280,"880,412","484,790",318820,"898,476","499,305",325885,"915,259","519,950",334445
45,Wyoming,"143,309","66,535",34280,"144,960","72,930",35805,"145,993","72,735",38625,"149,161","74,650",36980,"150,776","80,780",43950,"151,600","78,975",40715,"152,933","74,935",42315,"152,602","80,810",43410,"150,863","78,275",43110,"150,456","78,605",44110,"150,718","80,370",44925
46,Alaska,"191,023","92,035",45860,"197,484","103,295",54015,"200,160","100,540",54020,"203,538","105,020",55615,"206,940","103,730",57845,"207,935","104,145",56020,"209,364","109,510",60490,"212,764","111,935",61695,"213,484","104,605",59120,"213,174","108,145",62765,"213,353","106,425",63145
47,California,"10,493,897","5,662,070",3270705,"10,508,797","5,718,930",3276535,"10,563,533","5,830,490",3325565,"10,636,008","6,020,550",3441800,"10,730,918","6,088,970",3481290,"10,844,896","6,323,440",3645960,"10,961,901","6,512,480",3786335,"11,088,335","6,719,890",3921620,"11,197,559","6,972,445",4091870,"11,274,711","7,115,070",4164535,"11,335,052","7,324,340",4330535
48,Hawaii,"360,092","197,720",111895,"362,478","206,765",109170,"366,528","204,635",106725,"372,449","215,285",114040,"377,408","220,475",126625,"379,054","220,000",123990,"381,825","220,865",129455,"384,982","234,755",127000,"384,212","233,415",130845,"383,261","238,705",135430,"381,798","237,495",135965
49,Oregon,"1,020,615","579,490",315665,"1,024,888","567,305",315040,"1,034,410","574,620",317300,"1,041,863","594,080",340800,"1,049,006","604,950",348440,"1,061,435","617,790",357085,"1,080,963","664,845",384140,"1,112,408","685,200",392680,"1,137,469","719,965",423300,"1,155,509","735,305",424235,"1,172,996","762,175",439290
50,Washington,"1,835,742","1,077,385",602270,"1,846,434","1,087,285",600855,"1,868,822","1,126,340",610785,"1,888,261","1,131,995",618790,"1,907,793","1,176,675",650175,"1,939,655","1,203,360",683365,"1,981,767","1,266,455",718770,"2,037,702","1,338,195",763975,"2,099,899","1,369,915",799730,"2,153,138","1,440,765",864890,"2,200,216","1,489,970",878310
